,Compound,Negative,Neutral,Positive,Tweets Ago,Username
0,0.7003,0.756,0.0,0.244,1,@BBC
1,0.4199,0.715,0.0,0.285,2,@BBC
2,0.4019,0.863,0.0,0.137,3,@BBC
3,0.6369,0.682,0.0,0.318,4,@BBC
4,0.0,1.0,0.0,0.0,5,@BBC
5,0.4019,0.816,0.0,0.184,6,@BBC
6,0.8271,0.607,0.0,0.393,7,@BBC
7,0.4215,0.833,0.0,0.167,8,@BBC
8,0.0,1.0,0.0,0.0,9,@BBC
9,0.3612,0.839,0.0,0.161,10,@BBC
10,-0.1027,0.638,0.202,0.16,11,@BBC
11,0.0,1.0,0.0,0.0,12,@BBC
12,0.0,1.0,0.0,0.0,13,@BBC
13,0.0,1.0,0.0,0.0,14,@BBC
14,0.0,1.0,0.0,0.0,15,@BBC
15,0.0,1.0,0.0,0.0,16,@BBC
16,0.0,1.0,0.0,0.0,17,@BBC
17,0.3182,0.874,0.0,0.126,18,@BBC
18,0.784,0.744,0.0,0.256,19,@BBC
19,0.0,1.0,0.0,0.0,20,@BBC
20,0.0,1.0,0.0,0.0,21,@BBC
21,0.0516,0.926,0.0,0.074,22,@BBC
22,0.0,1.0,0.0,0.0,23,@BBC
23,0.0,1.0,0.0,0.0,24,@BBC
24,-0.4939,0.862,0.138,0.0,25,@BBC
25,0.0,1.0,0.0,0.0,26,@BBC
26,0.0,1.0,0.0,0.0,27,@BBC
27,0.0,1.0,0.0,0.0,28,@BBC
28,0.5859,0.833,0.0,0.167,29,@BBC
29,0.0,1.0,0.0,0.0,30,@BBC
30,0.7345,0.721,0.0,0.279,31,@BBC
31,0.0,1.0,0.0,0.0,32,@BBC
32,-0.5106,0.858,0.142,0.0,33,@BBC
33,0.0,1.0,0.0,0.0,34,@BBC
34,0.0,1.0,0.0,0.0,35,@BBC
35,0.0,1.0,0.0,0.0,36,@BBC
36,-0.4215,0.823,0.177,0.0,37,@BBC
37,0.4445,0.673,0.0,0.327,38,@BBC
38,-0.3612,0.889,0.111,0.0,39,@BBC
39,0.4019,0.717,0.096,0.188,40,@BBC
40,0.0,1.0,0.0,0.0,41,@BBC
41,0.4199,0.772,0.081,0.147,42,@BBC
42,0.6597,0.787,0.0,0.213,43,@BBC
43,0.6369,0.724,0.0,0.276,44,@BBC
44,0.3182,0.874,0.0,0.126,45,@BBC
45,0.0,1.0,0.0,0.0,46,@BBC
46,0.2263,0.909,0.0,0.091,47,@BBC
47,-0.6486,0.677,0.323,0.0,48,@BBC
48,0.0,1.0,0.0,0.0,49,@BBC
49,-0.5859,0.806,0.194,0.0,50,@BBC
50,-0.4939,0.868,0.132,0.0,51,@BBC
51,0.5093,0.87,0.0,0.13,52,@BBC
52,0.34,0.662,0.125,0.213,53,@BBC
53,0.0,1.0,0.0,0.0,54,@BBC
54,0.0,1.0,0.0,0.0,55,@BBC
55,-0.4019,0.828,0.172,0.0,56,@BBC
56,0.0,1.0,0.0,0.0,57,@BBC
57,-0.0382,0.943,0.057,0.0,58,@BBC
58,0.0,1.0,0.0,0.0,59,@BBC
59,0.0,1.0,0.0,0.0,60,@BBC
60,0.1779,0.7,0.115,0.185,61,@BBC
61,-0.6486,0.823,0.177,0.0,62,@BBC
62,0.5106,0.645,0.0,0.355,63,@BBC
63,0.0,1.0,0.0,0.0,64,@BBC
64,0.0,1.0,0.0,0.0,65,@BBC
65,0.5106,0.798,0.0,0.202,66,@BBC
66,0.6597,0.735,0.0,0.265,67,@BBC
67,0.5707,0.813,0.0,0.187,68,@BBC
68,0.0,1.0,0.0,0.0,69,@BBC
69,-0.3182,0.905,0.095,0.0,70,@BBC
70,-0.3089,0.903,0.097,0.0,71,@BBC
71,0.6114,0.693,0.0,0.307,72,@BBC
72,0.4939,0.868,0.0,0.132,73,@BBC
73,0.4199,0.715,0.0,0.285,74,@BBC
74,0.2263,0.822,0.068,0.11,75,@BBC
75,0.0,1.0,0.0,0.0,76,@BBC
76,-0.2942,0.82,0.18,0.0,77,@BBC
77,0.0,1.0,0.0,0.0,78,@BBC
78,0.0,1.0,0.0,0.0,79,@BBC
79,0.0,1.0,0.0,0.0,80,@BBC
80,0.0,1.0,0.0,0.0,81,@BBC
81,0.4404,0.838,0.0,0.162,82,@BBC
82,0.0,1.0,0.0,0.0,83,@BBC
83,-0.6486,0.677,0.323,0.0,84,@BBC
84,-0.4939,0.811,0.189,0.0,85,@BBC
85,0.4003,0.899,0.0,0.101,86,@BBC
86,-0.34,0.726,0.165,0.109,87,@BBC
87,0.0,1.0,0.0,0.0,88,@BBC
88,0.743,0.526,0.0,0.474,89,@BBC
89,0.5574,0.796,0.0,0.204,90,@BBC
90,0.0,1.0,0.0,0.0,91,@BBC
91,0.5984,0.671,0.0,0.329,92,@BBC
92,0.0,1.0,0.0,0.0,93,@BBC
93,0.4404,0.707,0.0,0.293,94,@BBC
94,-0.2023,0.805,0.121,0.075,95,@BBC
95,0.0516,0.678,0.136,0.186,96,@BBC
96,0.5859,0.441,0.0,0.559,97,@BBC
97,-0.7096,0.763,0.237,0.0,98,@BBC
98,0.6908,0.659,0.0,0.341,99,@BBC
99,0.5994,0.813,0.0,0.187,100,@BBC
