,Compound,Negative,Neutral,Positive,Tweets Ago,Username
0,-0.4389,0.879,0.121,0.0,1,@CBS
1,0.0,1.0,0.0,0.0,2,@CBS
2,0.0,1.0,0.0,0.0,3,@CBS
3,0.5423,0.829,0.0,0.171,4,@CBS
4,0.3182,0.887,0.0,0.113,5,@CBS
5,0.0,1.0,0.0,0.0,6,@CBS
6,-0.5267,0.72,0.188,0.092,7,@CBS
7,0.0,1.0,0.0,0.0,8,@CBS
8,0.4389,0.874,0.0,0.126,9,@CBS
9,-0.3182,0.897,0.103,0.0,10,@CBS
10,0.4926,0.856,0.0,0.144,11,@CBS
11,0.8957,0.581,0.0,0.419,12,@CBS
12,0.0,1.0,0.0,0.0,13,@CBS
13,0.6696,0.745,0.0,0.255,14,@CBS
14,0.7901,0.72,0.0,0.28,15,@CBS
15,0.6696,0.791,0.0,0.209,16,@CBS
16,0.0,1.0,0.0,0.0,17,@CBS
17,0.3612,0.889,0.0,0.111,18,@CBS
18,0.5411,0.683,0.098,0.219,19,@CBS
19,0.3818,0.894,0.0,0.106,20,@CBS
20,0.5093,0.845,0.0,0.155,21,@CBS
21,0.0,1.0,0.0,0.0,22,@CBS
22,0.8316,0.694,0.0,0.306,23,@CBS
23,0.0,1.0,0.0,0.0,24,@CBS
24,0.5994,0.843,0.0,0.157,25,@CBS
25,0.0,1.0,0.0,0.0,26,@CBS
26,0.5826,0.827,0.0,0.173,27,@CBS
27,-0.5093,0.798,0.202,0.0,28,@CBS
28,0.0,1.0,0.0,0.0,29,@CBS
29,0.6041,0.775,0.0,0.225,30,@CBS
30,0.3802,0.853,0.0,0.147,31,@CBS
31,-0.2057,0.917,0.083,0.0,32,@CBS
32,0.0,1.0,0.0,0.0,33,@CBS
33,-0.0572,0.936,0.064,0.0,34,@CBS
34,-0.3612,0.82,0.121,0.059,35,@CBS
35,0.4939,0.862,0.0,0.138,36,@CBS
36,0.0,1.0,0.0,0.0,37,@CBS
37,0.4926,0.825,0.0,0.175,38,@CBS
38,0.2732,0.877,0.0,0.123,39,@CBS
39,0.2716,0.905,0.0,0.095,40,@CBS
40,-0.4973,0.867,0.133,0.0,41,@CBS
41,0.0,1.0,0.0,0.0,42,@CBS
42,-0.4019,0.886,0.114,0.0,43,@CBS
43,-0.6908,0.793,0.207,0.0,44,@CBS
44,0.0,1.0,0.0,0.0,45,@CBS
45,0.8555,0.714,0.0,0.286,46,@CBS
46,0.5994,0.766,0.0,0.234,47,@CBS
47,0.6124,0.792,0.0,0.208,48,@CBS
48,-0.2748,0.742,0.153,0.105,49,@CBS
49,0.0,1.0,0.0,0.0,50,@CBS
50,-0.4588,0.875,0.125,0.0,51,@CBS
51,0.0,1.0,0.0,0.0,52,@CBS
52,0.0,1.0,0.0,0.0,53,@CBS
53,0.6249,0.796,0.0,0.204,54,@CBS
54,0.1384,0.823,0.079,0.098,55,@CBS
55,0.0,1.0,0.0,0.0,56,@CBS
56,0.4588,0.818,0.0,0.182,57,@CBS
57,0.0,1.0,0.0,0.0,58,@CBS
58,0.0,1.0,0.0,0.0,59,@CBS
59,0.0,1.0,0.0,0.0,60,@CBS
60,0.0,1.0,0.0,0.0,61,@CBS
61,-0.0018,0.853,0.074,0.073,62,@CBS
62,0.0,1.0,0.0,0.0,63,@CBS
63,-0.0602,0.599,0.219,0.182,64,@CBS
64,0.1761,0.735,0.105,0.16,65,@CBS
65,0.1027,0.767,0.11,0.123,66,@CBS
66,0.0498,0.746,0.123,0.13,67,@CBS
67,0.6114,0.818,0.0,0.182,68,@CBS
68,0.2263,0.917,0.0,0.083,69,@CBS
69,0.0,1.0,0.0,0.0,70,@CBS
70,0.6124,0.76,0.0,0.24,71,@CBS
71,0.9098,0.531,0.0,0.469,72,@CBS
72,0.34,0.876,0.0,0.124,73,@CBS
73,0.5707,0.813,0.0,0.187,74,@CBS
74,0.0,1.0,0.0,0.0,75,@CBS
75,0.34,0.882,0.0,0.118,76,@CBS
76,-0.1511,0.834,0.099,0.068,77,@CBS
77,0.8293,0.66,0.0,0.34,78,@CBS
78,0.128,0.927,0.0,0.073,79,@CBS
79,-0.296,0.891,0.109,0.0,80,@CBS
80,-0.296,0.891,0.109,0.0,81,@CBS
81,-0.7964,0.736,0.264,0.0,82,@CBS
82,-0.6597,0.82,0.18,0.0,83,@CBS
83,0.3182,0.905,0.0,0.095,84,@CBS
84,0.0,1.0,0.0,0.0,85,@CBS
85,0.0,1.0,0.0,0.0,86,@CBS
86,0.0,1.0,0.0,0.0,87,@CBS
87,0.0,1.0,0.0,0.0,88,@CBS
88,0.0,1.0,0.0,0.0,89,@CBS
89,0.0,1.0,0.0,0.0,90,@CBS
90,0.0,1.0,0.0,0.0,91,@CBS
91,0.0,1.0,0.0,0.0,92,@CBS
92,0.0,1.0,0.0,0.0,93,@CBS
93,0.0,1.0,0.0,0.0,94,@CBS
94,0.0,1.0,0.0,0.0,95,@CBS
95,0.0,1.0,0.0,0.0,96,@CBS
96,0.0,1.0,0.0,0.0,97,@CBS
97,0.0,1.0,0.0,0.0,98,@CBS
98,0.0,1.0,0.0,0.0,99,@CBS
99,0.0,1.0,0.0,0.0,100,@CBS
