,Compound,Negative,Neutral,Positive,Tweets Ago,Username
0,-0.8074,0.687,0.313,0.0,1,@CNN
1,0.3182,0.887,0.0,0.113,2,@CNN
2,-0.7579,0.764,0.236,0.0,3,@CNN
3,-0.8074,0.711,0.289,0.0,4,@CNN
4,-0.2263,0.769,0.132,0.099,5,@CNN
5,-0.5994,0.622,0.276,0.102,6,@CNN
6,-0.4588,0.812,0.188,0.0,7,@CNN
7,-0.3612,0.529,0.302,0.169,8,@CNN
8,-0.2263,0.769,0.132,0.099,9,@CNN
9,-0.5574,0.833,0.167,0.0,10,@CNN
10,0.0,1.0,0.0,0.0,11,@CNN
11,-0.7003,0.746,0.254,0.0,12,@CNN
12,0.7346,0.605,0.099,0.296,13,@CNN
13,0.0,1.0,0.0,0.0,14,@CNN
14,0.4767,0.871,0.0,0.129,15,@CNN
15,0.0,1.0,0.0,0.0,16,@CNN
16,0.0,1.0,0.0,0.0,17,@CNN
17,0.0,1.0,0.0,0.0,18,@CNN
18,0.0,1.0,0.0,0.0,19,@CNN
19,-0.9001,0.621,0.379,0.0,20,@CNN
20,-0.5994,0.619,0.258,0.124,21,@CNN
21,0.0,1.0,0.0,0.0,22,@CNN
22,0.5994,0.776,0.0,0.224,23,@CNN
23,0.0,1.0,0.0,0.0,24,@CNN
24,-0.5719,0.576,0.288,0.136,25,@CNN
25,0.4754,0.838,0.0,0.162,26,@CNN
26,-0.4215,0.754,0.179,0.067,27,@CNN
27,0.0516,0.641,0.154,0.205,28,@CNN
28,0.2732,0.851,0.0,0.149,29,@CNN
29,-0.4404,0.828,0.172,0.0,30,@CNN
30,-0.5267,0.825,0.175,0.0,31,@CNN
31,-0.5267,0.825,0.175,0.0,32,@CNN
32,0.2023,0.904,0.0,0.096,33,@CNN
33,-0.6486,0.815,0.185,0.0,34,@CNN
34,-0.8074,0.578,0.422,0.0,35,@CNN
35,0.2716,0.896,0.0,0.104,36,@CNN
36,-0.4215,0.823,0.177,0.0,37,@CNN
37,0.4939,0.842,0.0,0.158,38,@CNN
38,0.0,1.0,0.0,0.0,39,@CNN
39,-0.5574,0.816,0.184,0.0,40,@CNN
40,0.0,1.0,0.0,0.0,41,@CNN
41,-0.7351,0.677,0.323,0.0,42,@CNN
42,-0.0772,0.894,0.106,0.0,43,@CNN
43,-0.3818,0.739,0.176,0.085,44,@CNN
44,0.0,1.0,0.0,0.0,45,@CNN
45,0.4939,0.741,0.0,0.259,46,@CNN
46,-0.4404,0.828,0.172,0.0,47,@CNN
47,0.0,1.0,0.0,0.0,48,@CNN
48,-0.0772,0.894,0.106,0.0,49,@CNN
49,-0.1779,0.639,0.196,0.164,50,@CNN
50,0.5859,0.603,0.116,0.28,51,@CNN
51,-0.7003,0.746,0.254,0.0,52,@CNN
52,0.0,1.0,0.0,0.0,53,@CNN
53,-0.4717,0.796,0.204,0.0,54,@CNN
54,-0.34,0.87,0.13,0.0,55,@CNN
55,-0.802,0.625,0.375,0.0,56,@CNN
56,0.0,1.0,0.0,0.0,57,@CNN
57,0.5859,0.858,0.0,0.142,58,@CNN
58,0.0,1.0,0.0,0.0,59,@CNN
59,0.0,1.0,0.0,0.0,60,@CNN
60,0.0,1.0,0.0,0.0,61,@CNN
61,0.0,1.0,0.0,0.0,62,@CNN
62,0.0,1.0,0.0,0.0,63,@CNN
63,-0.5719,0.576,0.288,0.136,64,@CNN
64,0.5719,0.844,0.0,0.156,65,@CNN
65,0.0,1.0,0.0,0.0,66,@CNN
66,0.4754,0.838,0.0,0.162,67,@CNN
67,-0.4215,0.754,0.179,0.067,68,@CNN
68,-0.25,0.644,0.197,0.159,69,@CNN
69,0.5198,0.607,0.111,0.281,70,@CNN
70,0.0516,0.641,0.154,0.205,71,@CNN
71,0.4019,0.87,0.0,0.13,72,@CNN
72,0.0,1.0,0.0,0.0,73,@CNN
73,0.34,0.888,0.0,0.112,74,@CNN
74,0.1531,0.849,0.0,0.151,75,@CNN
75,-0.5423,0.788,0.212,0.0,76,@CNN
76,-0.4767,0.773,0.164,0.063,77,@CNN
77,0.6908,0.769,0.0,0.231,78,@CNN
78,-0.4588,0.812,0.188,0.0,79,@CNN
79,0.4019,0.876,0.0,0.124,80,@CNN
80,0.0,1.0,0.0,0.0,81,@CNN
81,0.0,1.0,0.0,0.0,82,@CNN
82,0.3182,0.887,0.0,0.113,83,@CNN
83,0.0,1.0,0.0,0.0,84,@CNN
84,0.2144,0.922,0.0,0.078,85,@CNN
85,0.3612,0.894,0.0,0.106,86,@CNN
86,0.3818,0.874,0.0,0.126,87,@CNN
87,0.1779,0.769,0.1,0.131,88,@CNN
88,-0.5994,0.719,0.281,0.0,89,@CNN
89,0.5719,0.844,0.0,0.156,90,@CNN
90,0.0,1.0,0.0,0.0,91,@CNN
91,0.0,1.0,0.0,0.0,92,@CNN
92,-0.6369,0.809,0.191,0.0,93,@CNN
93,0.128,0.897,0.0,0.103,94,@CNN
94,0.4019,0.863,0.0,0.137,95,@CNN
95,-0.4404,0.828,0.172,0.0,96,@CNN
96,0.0,1.0,0.0,0.0,97,@CNN
97,-0.566,0.785,0.215,0.0,98,@CNN
98,0.0,1.0,0.0,0.0,99,@CNN
99,0.4404,0.847,0.0,0.153,100,@CNN
