,Compound,Negative,Neutral,Positive,Tweets Ago,Username
0,0.0,1.0,0.0,0.0,1,@FoxNews
1,0.4404,0.614,0.141,0.245,2,@FoxNews
2,0.0,1.0,0.0,0.0,3,@FoxNews
3,0.0,1.0,0.0,0.0,4,@FoxNews
4,0.0,1.0,0.0,0.0,5,@FoxNews
5,-0.25,0.714,0.164,0.122,6,@FoxNews
6,0.5574,0.54,0.183,0.277,7,@FoxNews
7,0.7506,0.584,0.0,0.416,8,@FoxNews
8,-0.0731,0.705,0.153,0.142,9,@FoxNews
9,-0.5106,0.809,0.191,0.0,10,@FoxNews
10,-0.6597,0.452,0.34,0.208,11,@FoxNews
11,-0.5994,0.782,0.218,0.0,12,@FoxNews
12,0.0,1.0,0.0,0.0,13,@FoxNews
13,-0.5994,0.738,0.262,0.0,14,@FoxNews
14,-0.5267,0.748,0.182,0.07,15,@FoxNews
15,-0.6486,0.619,0.381,0.0,16,@FoxNews
16,0.0,1.0,0.0,0.0,17,@FoxNews
17,0.0,1.0,0.0,0.0,18,@FoxNews
18,0.25,0.769,0.098,0.133,19,@FoxNews
19,0.0,1.0,0.0,0.0,20,@FoxNews
20,-0.1027,0.465,0.308,0.227,21,@FoxNews
21,-0.0772,0.667,0.178,0.156,22,@FoxNews
22,0.0,1.0,0.0,0.0,23,@FoxNews
23,-0.7906,0.533,0.467,0.0,24,@FoxNews
24,-0.1779,0.766,0.132,0.102,25,@FoxNews
25,0.0,1.0,0.0,0.0,26,@FoxNews
26,0.2368,0.826,0.0,0.174,27,@FoxNews
27,0.3612,0.889,0.0,0.111,28,@FoxNews
28,0.3612,0.872,0.0,0.128,29,@FoxNews
29,0.7579,0.681,0.0,0.319,30,@FoxNews
30,-0.7269,0.541,0.347,0.112,31,@FoxNews
31,-0.8625,0.61,0.39,0.0,32,@FoxNews
32,-0.8807,0.595,0.405,0.0,33,@FoxNews
33,0.4019,0.856,0.0,0.144,34,@FoxNews
34,0.5267,0.746,0.0,0.254,35,@FoxNews
